Paper publication venue,Paper title,"Paper topic
","Methodologies used in the human study
","Experiment design use for the evaluation

","Scale interpretation

",Methodology used for the results,Test used for the statistical significance testing,Number of annotators used in the human study,"Subjects used in the evaluation 
",Criteria or questions used in the evaluation,Coefficent used to measuring Inter-Annotator Agreement,Inter-Annotator Agreement reported,"Inter-Annotator Agreement interpretation scale used
",Strategy to improve the Inter-Annotator Agreement
INLG 2008,Generating Textual Summaries of Bar Charts,Graph Summarization,Relative judjment,Rank items,Ordinal,Percentage,-,15,-,"Rank  summaries in terms of their quality in conveying the informational content",-,-,-,-
,Dependency Tree Based Sentence Compression,Sentence compression,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","Interval

No justification",Mean,-,5,No expert: native English speakers,"Grammaticality, Importance",-,-,-,-
,Extractive vs. NLG-based Abstractive Summarization of Evaluative Text: The Effect of Corpus Controversiality,Summarization,Absolute judgment,"Likert: (5 points)

Alternative name: graphic rating scale (or Likert item or Likert-style)","Interval

No justification","Mean, Standard Deviation","Two-way ANOVA

One tailed sign test",20,No expert: university students,"Grammaticality, Non-redundancy, Referential clarity, Focus, Structure and Coherence, Recall, Precision, Accuracy, Footnote, Macro – Footnote, Macro, Overall",-,-,-,-
,Using Tactical NLG to Induce Affective States: Empirical Investigations,Measure readers’ emotions,Absolute judgment,"Rating: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","Interval

No justification","Mean, Standard Deviation ",t-test,60,No expert: female students,"Interest in food before reading the text, Informativeness, Positive message 
polarity, Negative message 
polarity, New information,
Post interest in the message.",-,-,-,-
,Practical Grammar-Based NLG from Examples,Grammar-based generation,Absolute judgment,Rating: Numerical (5 points) ,"Interval

Justified: The authors wrote ""The distribution of ratings across utterances is not normal;  to validate our results we accompanied each t-test by a nonparametric Wilcoxon rank sum test, and significance always fell in the same general range.""",Frequency,"t-test, Wilcoxon rank sum test

",5,Expert,Overall,Krippendorff's α,0.708,Krippendorff scale,-
,Automated Metrics That Agree With Human Judgements On Generated Output for an Embodied Conversational Agent,Facial displays,Relative judjment,Relative selection,Ordinal,Counting ,χ2 ,36,No expert: native English speakers,Select the one you prefer,-,-,-,-
,Generation of Output Style Variation in the SAMMIE Dialogue System,Dialogue systems,Absolute judgment,"Rating: (6 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","Interval 

No justification","Result presented in the paper:

Kruijff-Korbayová and O. Kukina (2008) The Effect of Dialogue System Output Style Variation
on Users’ Evaluation Judgments and Input Style","t-test 

Cronbach’s alpha (use to measure the meaningfulness and reliability of 6 indices defined to evaluate the annottors answers)",28,No expert: native German speakers,"How do you assess the system in general, Communication with the system seemed to you, In terms of usability the
system is",-,-,-,-
,Evaluating an Ontology-Driven WYSIWYM Interface,"Ontology-driven for metadata creation",Absolute judgment,"Likert: (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style) 
","Interval

No justification",Mean,-,16,No expert: researchers and PhD students,"Usability, Usefulness",-,-,-,-
,Creation of a New Domain and Evaluation of Comparison Generation in a Natural Language Generation System,Customizable descriptions generation,Absolute judgment," Likert (L)
 Multiple-choice questions (Mcq)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","Interval

No justification","L: Significance analysis
Mcq: Mean, Standard Deviation",Two-way ANOVA,40,No expert: fluent English speakers,-,-,-,-,-
,Generating Baseball Summaries from Multiple Perspectives by Reordering Content,Stories' Generation ,Absolute judgment,"Rating:  (5 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","Interval 

No justification","Mean, Standard Deviation ",t-test,8,-,"Original, Events Only, Overlapping, Ordering",-,-,-,-
ENLG 2009,System Building Cost vs. Output Quality in Data-to-Text Generation,Data-to-text generation systems,Absolute judgment,"Rating: (7 points)

Alternative name: Graphic rating scale (or Likert item or Likert-style)  or  Numerical scale","Interval

Justified: The authors wrote ""because ratings are ordinal data and it is not clear how meaningful it is to compute means. However, it is a simple way of obtaining
a system ranking for comparison with the
two automatic scores (BLEU and NIST)"". ","Mean, Counting
","One-way ANOVA, Post-hoc Tukey",22,No expert: native English speakers,"Clarity, Readability",-,-,-,-
,Report on the First NLG Challenge on Generating Instructions in Virtual Environments (GIVE),Generating Instructions in Virtual Environments,Absolute judgment,"Likert: (5 points) (LK5), (7 points) (LK7)

Alternative name: Numerical scale

Choose a category: (3 categories) (Cac)

","Interval

No justification

Nominal","LK5, LK7: Mean

Cac: Percentage","LK5, LK7: ANOVA, Tukey-tests

Cac : χ2 ",-,No expert: internet anonymous users,"LK7: Overall

LK5: Task difficulty, Goal clarity, Play again, Instruction clarity, Instruction helpfulness, Choice of words, Referring expressions, Navigation instructions, Friendliness, 

N: Informativity, Timing",-,-,-,-
,The TUNA-REG Challenge 2009: Overview and Evaluation Results,Shared-Task Evaluation Competition (STEC),Absolute judgment,Slider: (from 1 to 100),"Interval

Justified: The authors noted ""We did not use a rating scale (where integers correspond to different assessments of quality), because it is not generally considered appropriate to apply parametric methods of analysis to ordinal data. Instead, we asked subjects to give their judgments for Adequacy and Fluency for each item by manipulating a slider""","Mean, Standard Deviation","ANOVA, Post-hoc Tukey",8,No expert: native English speakers,"Adequacy/clarity, Fluency",-,-,-,-
INLG 2010,Comparing Rating Scales and Preference Judgements in Language Evaluation,Evaluation study: three experiments compare absolute vs relative judgment,"Absolute judgment (Aj) 
Relative judjment (Rj)","Aj;  Rating: (5 points) 
Rj; Slider: (from -10 to 10)

Aj; Rating:  (7 points) 
Rj; Slider: (from -50 to 50)

Aj; Slider: (from 0 to 100)
Rj; Slider: (from -50 to 50)

Alternative name: Graphic rating scale (or Likert item or Likert-style) ","Aj, Rj; Interval

Aj, Rj; Interval

Aj, Rj;Interval

About the use of rating scale  the author wrote: ""The result of a rating scale experiment is ordinal
data (sets of scores selected from the discrete
rating scale). The means-based ranks and statistical
significance tests that are commonly presented
with the results of RSEs are not generally considered
appropriate for ordinal data in the statistics
literature (Siegel, 1957). At the least, “a test on the
means imposes the requirement that the measures
must be additive, i.e. numerical” (Siegel, 1957, p.
14). Parametric statistics are more powerful than
non-parametric alternatives, because they make a
number of strong assumptions (including that the
data is numerical). If the assumptions are violated
then the risks is that the significance of results is overestimated.""","In the paper are analysed the difference between Rating scale evaluation Vs. Slider scale evaluation. The dimenions od the analysis as the following:

(i) the amount of variation accounted for by differences between systems 
(ii) inter-evaluator agreement
 (iii) evaluator self-consistency
 (iv) the number of significant differences identified
(v) experimental cost.",One-way ANOVA,"Aj, Ar: 10
 
Aj, Ar: 22 

Aj, Ar: 8 and 28"," Aj, Rj; No expert: linguistics students

 Aj, Rj; No expert: linguistics students and University staff 

 Aj, Rj; No expert: linguistics students","Aj, Rj:  Fluency, Clarity 

Aj, Rj:  Readability, Clarity 

 Aj, Rj:  Fluency, Adequacy",Aj. Rj: Kendall’s W,"Aj: Fluency = 0.760, Clarity = 0.543 
Rj: Fluency = 0.725, Clarity = 0.717   

Aj:  Readability = 0.533, Clarity = 0.497
Rj:  Readability = 0.542 , Clarity = 0.626
 
Aj: Fluency = 0.676, Adequacy = 0.471
Rj: Fluency = 0.654, Adequacy = 0.573",-,-
,A Discourse-Aware Graph-Based Content-Selection Framework,Content selection,"Absolute judgment (Aj) 
Relative judjment (Rj)","Rj; Relative selection
Aj: Rating: (5 points) 

Alternative name: Numerical scale","Rj; Ordinal
Aj: Interval

No justification","Rj; Counting
Aj: Mean, Mim",-," Rj: 21 
Aj: 12 ","Rj, Aj; No expert: university students ","Rj: Select the best 4 proprosition 
Aj: Quality in conveying additional information",-,-,-,-
,Situated Reference in a Hybrid Human-Robot Interaction System,Human-robot interaction,Absolute judgment ,Slider: (from 1 to 100),"Interval

No justification",Mean  (done in each of the four categories),Mann-Whitney ,41,-,"Intelligenceof the robot, Task ease and task success, Feelings of the user,  Conversation quality ",-,-,-,-
,Generating and Validating Abstracts of Meeting Conversations: a User Study,Generation of abstracts of meeting conversations,Absolute judgment ,Likert: Likert item (5 points),"Interval

No justification",Mean,t-test,19,-,"I understood the overall content of the discussion, It required a lot of effort to review the meeting in
the allotted time, The summary was coherent and readable,  The information in the summary was relevant,  The summary was useful for navigating the discussion, The summary was missing relevant information.",-,-,-,-
,Paraphrase Generation as Monolingual Translation: Data and Evaluation,Paraphrase Generation,Absolute judgment ,"Rating: (7 points)

Alternative name: Numerical scale"," Interval

No justification","Mean, Standard Deviation",-,-,-,Overall,-,-,-,-
,The GREC Challenges 2010: Overview and Evaluation Results,Referring expression generation,Relative judjment,Relative rating: (Slider from -10 to 10)," Interval

No justification","Mean, Counting","ANOVA, Post-hoc Tukey",10,No expert: university students all native English speakers,"Fluency, Referential Clarity",-,-,-,-
,Report on the Second NLG Challenge on Generating Instructions in Virtual Environments (GIVE-2),Generating Instructions in Virtual Environments,Absolute judgment , Slider: (from -100 to 100),"Interval

No justification",Mean,"ANOVA, Post-hoc Tukey",-,No expert: Internet anonymous users,"Overall the system gave me good directions, Quality measures (15 questions), Emotional  affect measures (7 questions)",-,-,-,-
UCNLG + Eval  2011,Exploring linguistically-rich patterns for question generation,Question Generation,Absolute judgment,Choose a category: (5 categories),Ordinal,Counting,-,3,Expert: the paper's authors,"Plausible (3 categories), Implausible (2 categories)",-,-,-,-
